recipient,party,party_source,from_crypto_native,native_items,from_diversified_core,diversified_items,name_variants_combined
Rep. Patrick Mchenry (R) And NRCC,,,11600.0,1,0.0,0,1
"Steil For Wisconsin, Inc.; Republican Party Of Wisconsin; On Wisconsin PAC NRCC",,,11000.0,5,0.0,0,2
Rep. Darren Soto (D-FL),(D-FL),members-table,11000.0,7,0.0,0,2
Rep. Glenn Thompson (R-PA),(R-PA),members-table,10750.0,6,0.0,0,1
Rep. Ro Khanna (D-CA),(D-CA),members-table,10600.0,3,0.0,0,2
Congressional Black Caucus Foundation And Rep. Steven Horsford,,,10000.0,1,0.0,0,1
JFC Representing Over 40 Different Committees (Ld-203 Space Restrictions Prohibit Listing Out Of Individual Committees),,,9900.0,2,0.0,0,1
Sen. Ruben Gallego (D-AZ),(D-AZ),members-table,9500.0,7,0.0,0,4
Sen. Deb Fischer (R-NE),(R-NE),members-table,9300.0,4,0.0,0,3
Sen. Angela D. Alsobrooks (D-MD),(D-MD),members-table,8300.0,7,0.0,0,3
Candidate Jake Rakov,,,8000.0,3,0.0,0,1
Sen. Ron Wyden (D-OR),(D-OR),members-table,7900.0,3,0.0,0,2
Tomorrow Is Meaningful PAC - Federal; Tim Scott For America; NRSC,,,7500.0,2,0.0,0,2
Sen. Sam Brown,,,7425.0,3,0.0,0,2
"Rep. Bryan Steil, National Republican Congressional Committee (Nrcc) And Republican Party Of Wisconsin (Federal Account)",,,7000.0,1,0.0,0,1
Rep. Brian Jack (R-GA),(R-GA),members-table,7000.0,5,0.0,0,3
Rep. Jake Auchincloss (D-MA),(D-MA),members-table,6800.0,2,0.0,0,1
French Hill For Arkansas In The Arena PAC NRCC,,,6800.0,2,0.0,0,2
Candidate Eric Hovde,,,6600.0,3,0.0,0,1
Dave Mccormick For Us Senate; Friends Of Dave Mccormick; NRSC Pennsylvania Honor; Republican Federal Committee Of Pennsylvania,,,6600.0,1,0.0,0,1
Rep. Ritchie Torres (D),,,6600.0,1,0.0,0,1
Sen. Adam B. Schiff (D-CA),(D-CA),members-table,6600.0,1,0.0,0,1
"Eye Of The Tiger Political Action Committee, The; NRCC Scalise For Congress",,,6600.0,1,0.0,0,1
Vivek Ramaswamy,,,6600.0,1,0.0,0,1
Denny Rehberg,,,6600.0,1,0.0,0,1
Rep. Tim Ryan,,,5800.0,1,0.0,0,1
Rep. Josh Mandel,,,5800.0,1,0.0,0,1
Rep. Sam T. Liccardo (D-CA),(D-CA),members-table,5300.0,4,0.0,0,2
Mark Warner Action Fund,,,5000.0,1,0.0,0,1
Lummis Victory Committee,,,5000.0,2,0.0,0,1
"Congressional Black Caucus Foundation, Rep. Marilyn Strickland And Rep. Janelle Bynum",,,5000.0,1,0.0,0,1
Sam Brown For Nv;Bernie Moreno For Senate;Rogers For Senate;Friends Of Dave Mccormick;Duty First Pac;Best At Bringing Entrepreneurial Results Never Imagined Or Envisioned Pac;Pa Honor;Mr PAC NRSC,,,5000.0,1,0.0,0,1
Dakota Leadership PAC Friends Of Dusty Johnson; Dusty PAC,,,4500.0,2,0.0,0,1
Sen. Tim Sheehy (R-MT),(R-MT),members-table,4300.0,2,0.0,0,2
Rep. Nikki Budzinski (D-IL),(D-IL),members-table,4000.0,5,0.0,0,2
Rep. Marcus J. Molinaro,,,3900.0,2,0.0,0,1
"Building America'S Republican Representation PAC Keep America Great PAC Inc., Andy Bar For Senate, Inc",,,3500.0,1,0.0,0,1
"Rep. Ashley Hinson, Candidate, U.S. Senate",,,3500.0,1,0.0,0,1
Jim Himes For Congress,,,3500.0,2,0.0,0,1
Congressional Black Caucus Foundation And Sen. Angela Alsobrooks,,,3500.0,1,0.0,0,1
"Rep. Andy Barr, Candidate, U.S. Senate",,,3500.0,1,0.0,0,1
Sen. Tim Scott And National Republican Senatorial Committee (Nrsc),,,3500.0,1,0.0,0,1
Rep. Robert Menendez (D-NJ),(D-NJ),members-table,3500.0,4,0.0,0,3
NRSC Sam Brown For Nevada; Duty First PAC,,,3300.0,1,0.0,0,1
Rep. Garland Andy Barr,,,3300.0,1,0.0,0,1
Rep. Wiley Nickel (D),,,3300.0,1,0.0,0,1
Rep. Byron Donalds (R-FL),(R-FL),members-table,3300.0,1,0.0,0,1
Rep. Andy Barr (R) And NRCC,,,3300.0,1,0.0,0,1
Senator Deb Fisher,,,3300.0,1,0.0,0,1
Rep. Kristen McDonald Rivet (D-MI),(D-MI),members-table,3000.0,5,0.0,0,4
