quarter,kind,registrant,client,income_trail4_or_firstq,filing_uuid,lda_public_url
2023-Q3,term,ICE MILLER LLP,Binance Holdings Limited,350000,94ac23b3-eadd-4486-aa83-0b69923128dd,https://lda.senate.gov/filings/public/filing/94ac23b3-eadd-4486-aa83-0b69923128dd/print/
2023-Q3,term,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Tesla Inc.,320000,1c90356b-fed5-40d8-bb5f-f0be9be490bb,https://lda.senate.gov/filings/public/filing/1c90356b-fed5-40d8-bb5f-f0be9be490bb/print/
2023-Q3,term,COVINGTON & BURLING LLP,"SL 2T, LLC (""SMARTLABS"")",300000,167c3576-99c6-43fc-84db-800502fffdab,https://lda.senate.gov/filings/public/filing/167c3576-99c6-43fc-84db-800502fffdab/print/
2023-Q3,term,TIBER CREEK GROUP,"Anheuser-Busch Companies, Inc.",290000,14ed1337-7cfb-429d-b1f2-7ba4e62efd36,https://lda.senate.gov/filings/public/filing/14ed1337-7cfb-429d-b1f2-7ba4e62efd36/print/
2023-Q3,term,ARNOLD & PORTER KAYE SCHOLER LLP,SODERLING INTERNATIONAL LTD DBA GRUPO ONYX,290000,214e4f8c-c452-4222-9527-5762d7f52426,https://lda.senate.gov/filings/public/filing/214e4f8c-c452-4222-9527-5762d7f52426/print/
2023-Q3,term,INVARIANT LLC,Scale,290000,4027a12b-9523-43ee-a8f1-bcc913b2237b,https://lda.senate.gov/filings/public/filing/4027a12b-9523-43ee-a8f1-bcc913b2237b/print/
2023-Q3,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",C5 CAPITAL,270000,0b0b6f4f-bf54-4edf-9535-db53b7de39e0,https://lda.senate.gov/filings/public/filing/0b0b6f4f-bf54-4edf-9535-db53b7de39e0/print/
2023-Q3,term,"MERCURY PUBLIC AFFAIRS, LLC",Grup Immobiliari Cierco,270000,e4190bea-484e-43ba-81e6-487bf77d8b73,https://lda.senate.gov/filings/public/filing/e4190bea-484e-43ba-81e6-487bf77d8b73/print/
2023-Q3,term,"AVOQ, LLC",Yellow Corporation,270000,50db7cc1-1d9b-4f7a-9e35-d04d0232fa61,https://lda.senate.gov/filings/public/filing/50db7cc1-1d9b-4f7a-9e35-d04d0232fa61/print/
2023-Q3,term,COVINGTON & BURLING LLP,"Atlas Air Worldwide Holdings, Inc.",260000,9a8823a9-14eb-40ed-ab49-0921b75d672c,https://lda.senate.gov/filings/public/filing/9a8823a9-14eb-40ed-ab49-0921b75d672c/print/
2023-Q3,term,FIERCE GOVERNMENT RELATIONS,"BAM Trading Services, Inc./Binance.US",260000,53dcf101-4421-4fa6-a813-988f3768c29f,https://lda.senate.gov/filings/public/filing/53dcf101-4421-4fa6-a813-988f3768c29f/print/
2023-Q3,term,BOUNDARY STONE PARTNERS,Novozymes North America Inc.,260000,c514a8f9-d55c-4c42-94c3-17385c74a201,https://lda.senate.gov/filings/public/filing/c514a8f9-d55c-4c42-94c3-17385c74a201/print/
2023-Q3,term,SQUIRE PATTON BOGGS,"FUTUREWEI TECHNOLOGIES, INC.",240000,a2d16218-df6b-4cb4-a52f-9197ee7a3655,https://lda.senate.gov/filings/public/filing/a2d16218-df6b-4cb4-a52f-9197ee7a3655/print/
2023-Q3,term,"GUIDEPOSTSTRATEGIES, LLC",Ford Motor Company,240000,9d1d5777-d030-43ac-990f-004795c287df,https://lda.senate.gov/filings/public/filing/9d1d5777-d030-43ac-990f-004795c287df/print/
2023-Q3,term,"JEFFREY J. KIMBELL & ASSOCIATES, INC.",IOR PARTNERS,240000,a1dd9087-8926-48da-89a7-7a00bc2b7206,https://lda.senate.gov/filings/public/filing/a1dd9087-8926-48da-89a7-7a00bc2b7206/print/
2023-Q3,term,J.A. GREEN AND COMPANY (FORMERLY LLC),Tomahawk Robotics,240000,a2d35c80-9fe2-44ea-8f6c-f77b83114f0e,https://lda.senate.gov/filings/public/filing/a2d35c80-9fe2-44ea-8f6c-f77b83114f0e/print/
2023-Q3,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","Virtu Financial, LLC",240000,1fef4f30-59d6-4e70-801d-d0f74820e5b3,https://lda.senate.gov/filings/public/filing/1fef4f30-59d6-4e70-801d-d0f74820e5b3/print/
