client,old_firm,new_firm,hire_dq,move,client_q_canonical_spend,term_uuid,term_lda_url,hire_uuid,hire_lda_url
"CX2, INC.",ANCHOR & ARROW STRATEGIES,ANCHOR & ARROW LLC,1,,72000,d33f272b-d823-4400-89a7-ab4b9b854e1f,https://lda.senate.gov/filings/public/filing/d33f272b-d823-4400-89a7-ab4b9b854e1f/print/,44740dca-39ba-49c3-a5a9-e395043058e5,https://lda.senate.gov/filings/public/filing/44740dca-39ba-49c3-a5a9-e395043058e5/print/
"CX2, INC.",ANCHOR & ARROW STRATEGIES,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",-1,,72000,d33f272b-d823-4400-89a7-ab4b9b854e1f,https://lda.senate.gov/filings/public/filing/d33f272b-d823-4400-89a7-ab4b9b854e1f/print/,855026ee-6736-4ad4-86af-90fbaee61c1e,https://lda.senate.gov/filings/public/filing/855026ee-6736-4ad4-86af-90fbaee61c1e/print/
American Urological Association,VENABLE LLP,"INFLECTION POINT (FKA ARISTOTLE INTERNATIONAL, INC.)",1,,70000,38266a2f-6aa7-410a-84d6-0102efc09f13,https://lda.senate.gov/filings/public/filing/38266a2f-6aa7-410a-84d6-0102efc09f13/print/,8ba9d86b-c665-4818-ae86-38291001b714,https://lda.senate.gov/filings/public/filing/8ba9d86b-c665-4818-ae86-38291001b714/print/
"Biomass Energy Systems, Inc. (BESI)",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),THE WAYFINDER GROUP,1,,70000,040ea645-0d7f-45dd-9d63-7f31c9865c95,https://lda.senate.gov/filings/public/filing/040ea645-0d7f-45dd-9d63-7f31c9865c95/print/,bb5b7456-8b27-45c9-bed1-cd7c75dda1a0,https://lda.senate.gov/filings/public/filing/bb5b7456-8b27-45c9-bed1-cd7c75dda1a0/print/
"Biomass Energy Systems, Inc. (BESI)",STRATEGIES 360,THE WAYFINDER GROUP,1,,70000,58a4dcd3-326f-4e2d-b769-ce038b52b76c,https://lda.senate.gov/filings/public/filing/58a4dcd3-326f-4e2d-b769-ce038b52b76c/print/,bb5b7456-8b27-45c9-bed1-cd7c75dda1a0,https://lda.senate.gov/filings/public/filing/bb5b7456-8b27-45c9-bed1-cd7c75dda1a0/print/
"Cigar Association of America, Inc.",S-3 GROUP,"BECKER & POLIAKOFF, P.A.",1,,70000,373c0fa3-1a86-440b-96e5-2fdbe1cb0b42,https://lda.senate.gov/filings/public/filing/373c0fa3-1a86-440b-96e5-2fdbe1cb0b42/print/,c1ed90b4-7a08-42cd-91c8-c470976fb382,https://lda.senate.gov/filings/public/filing/c1ed90b4-7a08-42cd-91c8-c470976fb382/print/
North Star Scientific Corporation,STRATEGIES 360,THE WAYFINDER GROUP,1,,70000,2b69117c-d3d1-4716-b23a-1d4846d8a052,https://lda.senate.gov/filings/public/filing/2b69117c-d3d1-4716-b23a-1d4846d8a052/print/,1051c252-0609-4f1d-a071-3393da29c1a9,https://lda.senate.gov/filings/public/filing/1051c252-0609-4f1d-a071-3393da29c1a9/print/
Nth Cycle,BOUNDARY STONE PARTNERS,MISSION STRATEGIES LLC (ENERGY),0,,70000,087be942-edb2-47fa-81b5-da3bb9ea5dcc,https://lda.senate.gov/filings/public/filing/087be942-edb2-47fa-81b5-da3bb9ea5dcc/print/,4499507e-c527-4780-acbf-5713158bf5f2,https://lda.senate.gov/filings/public/filing/4499507e-c527-4780-acbf-5713158bf5f2/print/
"St. Petersburg College Foundation, Inc.",KING & SPALDING LLP,"RUBIN, TURNBULL & ASSOCIATES",-1,,70000,60a3d8d8-5b3d-49a5-899e-cfe00afb6b2a,https://lda.senate.gov/filings/public/filing/60a3d8d8-5b3d-49a5-899e-cfe00afb6b2a/print/,4f1a3c14-26dc-4e26-aa41-6889592ea4d7,https://lda.senate.gov/filings/public/filing/4f1a3c14-26dc-4e26-aa41-6889592ea4d7/print/
VATN SYSTEMS,"CASSIDY & ASSOCIATES, INC.","WILLIAMS AND JENSEN, PLLC",0,,70000,44395eb1-da6d-4291-8aca-5bc4994247fd,https://lda.senate.gov/filings/public/filing/44395eb1-da6d-4291-8aca-5bc4994247fd/print/,5681a0d6-62cb-4089-853d-a5054dd68d57,https://lda.senate.gov/filings/public/filing/5681a0d6-62cb-4089-853d-a5054dd68d57/print/
Verituity,GRAYROBINSON PA,CONSTITUTION PARTNERS,0,,70000,4cfa78f0-f54a-4804-9e0d-db7383e13840,https://lda.senate.gov/filings/public/filing/4cfa78f0-f54a-4804-9e0d-db7383e13840/print/,11e10107-aa4a-4bb7-8787-a2b64c5c559c,https://lda.senate.gov/filings/public/filing/11e10107-aa4a-4bb7-8787-a2b64c5c559c/print/
Water Quality Association,"BANNER PUBLIC AFFAIRS, LLC",CURRENT STRATEGIES,0,,70000,bc070dc7-9295-456d-9eff-ba56530bbadc,https://lda.senate.gov/filings/public/filing/bc070dc7-9295-456d-9eff-ba56530bbadc/print/,271d8c9c-27bc-45f7-a08b-f80101640c74,https://lda.senate.gov/filings/public/filing/271d8c9c-27bc-45f7-a08b-f80101640c74/print/
