recipient_raw,items,total
CONGRESSMAN JAMES CLYBURN,3,60000.0
DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,4,60000.0
JUAN CISCOMANI,24,60000.0
REP BRETT GUTHRIE,18,60000.0
REP DARIN LAHOOD,27,60000.0
RICHARD BLUMENTHAL,18,60000.0
SEN SUSAN COLLINS,24,60000.0
SEN. PATRICIA LYNN MURRAY,22,60000.0
SPONSORSHIP OF THE 2023 ALC PHOENIX AWARDS DINNER AND THE 2023 ECONOMIC SUMMIT SERIES,1,60000.0
SPONSORSHIP OF THE ANNUAL CBCF LEGISLATIVE CONFERENCE. ENTITY CONTROLLED BY COVERED OFFICIALS,1,60000.0
SPONSORSHIP OF THE LEADERSHIP INSTITUTE PROGRAMS,1,60000.0
NORMA TORRES,29,59500.0
REP. GREGORY WELDON MEEKS,28,59500.0
REP. SUZAN DELBENE,24,59500.0
SEN. ALEX PADILLA,23,59500.0
SEN. BILL HAGERTY,22,59500.0
STEVEN DAINES,19,59500.0
MARK POCAN,19,59435.0
"NEAL, RICHARD",16,59000.0
REP. RICHARD NEAL,22,59000.0
ASPIRE PAC,14,58500.0
REP ROBERT B ADERHOLT,21,58500.0
ROBIN KELLY,25,58500.0
SEN MARK R WARNER,28,58500.0
SEN STEVE DAINES,20,58500.0
SHERROD BROWN,19,58500.0
CHRIS PAPPAS,25,58046.0
REP. STENY HAMILTON HOYER,14,58000.0
SALUD CARBAJAL,34,58000.0
KYRSTEN SINEMA,22,57800.0
REP. KEVIN OWEN MCCARTHY,15,57500.0
RICHARD DURBIN,17,57500.0
"SEN. ANGUS STANLEY KING, JR",17,57500.0
CINDY HYDE-SMITH,16,57000.0
JOSH GOTTHEIMER,26,57000.0
REP. ELISE M. STEFANIK,26,57000.0
TERRI SEWELL,33,57000.0
"VEASEY, MARC",29,57000.0
DANIEL WEBSTER,28,56750.0
REP GARRET GRAVES,22,56500.0
REP ROB WITTMAN,20,56500.0
REP. STENY HOYER,15,56500.0
BLAKE MOORE,28,56000.0
FRANK MRVAN,24,56000.0
REP. GARRET GRAVES,30,56000.0
SEN. TOM COTTON,23,56000.0
MORGAN MCGARVEY,18,55750.0
