quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q2,2022-04-28,Raul Ruiz,Democrat,CA,House,"Following Visit to the Salton Sea, Dr. Ruiz & U.S. Energy Secretary Granholm Put Community Needs at the Forefront in Congressional Hearing",https://ruiz.house.gov/media-center/press-releases/following-visit-salton-sea-dr-ruiz-us-energy-secretary-granholm-put,congress_press/2022/2022-04.jsonl,1370
2022-Q2,2022-05-04,Dan Sullivan,Republican,AK,Senate,"Senate Approves Sullivan Motion to Ban Taxpayer Dollars from Funding Forced-Labor-Sourced Minerals, Technology",https://www.sullivan.senate.gov/newsroom/press-releases/senate-approves-sullivan-motion-to-ban-taxpayer-dollars-from-funding-forced-labor-sourced-minerals-technology,congress_press/2022/2022-05.jsonl,210
2022-Q2,2022-05-16,Lisa Murkowski,Republican,AK,Senate,"Manchin, Murkowski Press Administration On Failure To Implement Critical Mineral Mandates",https://www.murkowski.senate.gov/press/release/manchin-murkowski-press-administration-on-failure-to-implement-critical-mineral-mandates,congress_press/2022/2022-05.jsonl,812
2022-Q2,2022-05-19,Mitch McConnell,Republican,KY,Senate,Record High Gas Prices Reflect Democrats’ Misunderstanding,https://www.mcconnell.senate.gov/public/index.cfm/pressreleases?ID=BD542EAC-82E3-4048-A987-49657E19BD2E,congress_press/2022/2022-05.jsonl,1174
2022-Q2,2022-05-20,Alexandria Ocasio-Cortez,Democrat,NY,House,Rep. Ocasio-Cortez Submits Funding Requests for 15 Community Projects,https://ocasio-cortez.house.gov/media/press-releases/rep-ocasio-cortez-submits-funding-requests-15-community-projects,congress_press/2022/2022-05.jsonl,1225
2022-Q2,2022-05-23,Sean Casten,Democrat,IL,House,Casten’s Projects Would Bring More Than $16.2 million in Funding to Improve Lives Chicagoland Priorities,https://casten.house.gov/media/press-releases/castens-projects-would-bring-more-162-million-funding-improve-lives,congress_press/2022/2022-05.jsonl,1265
2022-Q2,2022-05-24,Harold Rogers,Republican,KY,House,Corbin High School Senior Wins Congressional Art Competition,https://halrogers.house.gov/press-releases?ID=9DAA4D25-FF1B-49FF-9947-8C9BAD67935C,congress_press/2022/2022-05.jsonl,1329
2022-Q2,2022-05-24,Pete Stauber,Republican,MN,House,Stauber Opening Remarks at Legislative Hearing on Democrat Bill to Ban Mining in Part of Northern Minnesota,https://stauber.house.gov/media/press-releases/stauber-opening-remarks-legislative-hearing-democrat-bill-ban-mining-part,congress_press/2022/2022-05.jsonl,1346
2022-Q2,2022-05-26,Tom Emmer,Republican,MN,House,Emmer & Fischbach Support Ranking Member Stauber in Advocating for American Resource Independence,https://emmer.house.gov/media-center/press-releases/emmer-fischbach-support-ranking-member-stauber-in-advocating-for-american-resource-independence,congress_press/2022/2022-05.jsonl,1469
2022-Q2,2022-06-06,Tom Cole,Republican,OK,House,Cole Congratulates 2022 Congressional Art Competition Winners,https://cole.house.gov/media/press-releases/cole-congratulates-2022-congressional-art-competition-winners,congress_press/2022/2022-06.jsonl,163
2022-Q2,2022-06-07,Mitch McConnell,Republican,KY,Senate,"Soaring Gas Prices, Runaway Energy Costs, and Dependence on China",https://www.mcconnell.senate.gov/public/index.cfm/pressreleases?ID=3B5A5CB8-2B12-4197-898B-ED5128A15DFF,congress_press/2022/2022-06.jsonl,262
2022-Q2,2022-06-14,Brian K. Fitzpatrick,Republican,PA,House,"Fitzpatrick, Gottheimer Lead Bipartisan Bill to Encourage Rare-Earth Elements Production and End Reliance on the CCP",https://fitzpatrick.house.gov/2022/6/fitzpatrick-gottheimer-lead-bipartisan-bill-to-encourage-rare-earth-elements-production-and-end-reliance-on-the-ccp,congress_press/2022/2022-06.jsonl,681
2022-Q2,2022-06-14,Diana Harshbarger,Republican,TN,House,"Harshbarger, Blackburn, and Hagerty Address EPA Rulemaking",https://harshbarger.house.gov/media/press-releases/harshbarger-blackburn-and-hagerty-address-epa-rulemaking,congress_press/2022/2022-06.jsonl,685
2022-Q2,2022-06-14,Dan Newhouse,Republican,WA,House,Newhouse Calls On Biden Administration to Stop Attack on American Agriculture,https://newhouse.house.gov/media-center/press-releases/newhouse-calls-biden-administration-stop-attack-american-agriculture,congress_press/2022/2022-06.jsonl,701
2022-Q2,2022-06-15,Rick W. Allen,Republican,GA,House,Rep. Allen Outlines Plan to Deliver Relief to America's Farmers,https://allen.house.gov/news/documentsingle.aspx?DocumentID=5073,congress_press/2022/2022-06.jsonl,739
2022-Q2,2022-06-15,David Kustoff,Republican,TN,House,Kustoff Joins House Agriculture Committee Ranking Member Thompson in Introducing Legislation to Stop Regulatory Hurdles and Decrease Farm Input Costs,https://kustoff.house.gov/media/press-releases/kustoff-joins-house-agriculture-committee-ranking-member-thompson-introducing,congress_press/2022/2022-06.jsonl,787
2022-Q2,2022-06-16,Austin Scott,Republican,GA,House,Rep. Austin Scott Speaks at House Ag GOP Press Conference to Address Fertilizer Shortage,https://austinscott.house.gov/press-releases?ID=940A9181-944E-45B3-BACA-6FD56F6921C2,congress_press/2022/2022-06.jsonl,863
2022-Q2,2022-06-17,Charles E. Schumer,Democrat,NY,Senate,"ICYMI: BINGHAMTON PRESS & SUN - SCHUMER, STENGER, WHITTINGHAM: BATTERIES CAN POWER BINGHAMTON’S FUTURE — AND AMERICA’S",https://www.schumer.senate.gov/newsroom/press-releases/icymi-binghamton-press-and-sun_-schumer-stenger-whittingham-batteries-can-power-binghamtons-future--and-americas,congress_press/2022/2022-06.jsonl,1036
